Date,,Open,High,Low,Close,Shares Traded
15-Dec-2000,,1349.25,1349.25,1308.15,1312.6,0
18-Dec-2000,,1310.15,1321.65,1297.2,1317.6,0
19-Dec-2000,,1317.75,1325.6,1307,1310.5,0
20-Dec-2000,,1312.8,1313.4,1285.45,1295.25,0
21-Dec-2000,,1294.25,1294.25,1257.1,1277.4,0
22-Dec-2000,,1278.95,1292.8,1237.3,1242,0
26-Dec-2000,,1242.05,1248.5,1207.95,1212,0
27-Dec-2000,,1212.15,1239,1208.75,1228.3,0
28-Dec-2000,,1229.35,1253.6,1229.35,1248.95,0
29-Dec-2000,,1249,1265.9,1242.25,1263.55,0
01-Jan-2001,,1263.5,1276.15,1250.65,1254.3,0
02-Jan-2001,,1254.25,1279.6,1248.55,1271.8,0
03-Jan-2001,,1271.8,1293.55,1263.95,1291.25,0
04-Jan-2001,,1291.3,1331.35,1291.3,1307.65,0
05-Jan-2001,,1307.55,1330.3,1306.25,1327.25,0
08-Jan-2001,,1327.35,1334.2,1303.35,1309.25,0
09-Jan-2001,,1309.2,1323.4,1304.9,1311.65,0
10-Jan-2001,,1311.65,1324.35,1285.3,1287.3,0
11-Jan-2001,,1287.5,1296.75,1275.95,1280.4,0
12-Jan-2001,,1280.45,1298.85,1279.4,1286.75,0
15-Jan-2001,,1286.85,1295.2,1277.85,1286.75,0
16-Jan-2001,,1287,1302.6,1279.85,1293.05,0
17-Jan-2001,,1299.4,1312.35,1295.3,1297.9,0
18-Jan-2001,,1297.95,1309.95,1297.95,1305.95,0
19-Jan-2001,,1306,1333.5,1306,1329.1,0
22-Jan-2001,,1329.3,1351.85,1329.3,1348,0
23-Jan-2001,,1347.95,1362.05,1346.5,1355.2,0
24-Jan-2001,,1355.35,1371.1,1355.35,1365.95,0
25-Jan-2001,,1366.05,1374.2,1353.5,1370.1,0
29-Jan-2001,,1368.55,1368.55,1312.1,1342.05,0
30-Jan-2001,,1342.1,1382.55,1342.05,1379.7,0
31-Jan-2001,,1385.85,1396.05,1369,1371.7,0
01-Feb-2001,,1371.5,1373.5,1340.95,1359.15,0
02-Feb-2001,,1359.1,1384.9,1355.3,1378.85,0
05-Feb-2001,,1378.8,1392.15,1373.45,1382.6,0
06-Feb-2001,,1382.7,1395.4,1382.7,1387.1,0
07-Feb-2001,,1387.3,1391.85,1368.05,1370.8,0
08-Feb-2001,,1370.65,1396.8,1365.05,1395.5,0
