open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
104.40,	105.90,	104.40,	105.73,	4248750.00,	66.35,	-33.65,	-0.03336990,	73920000.00,	106.42,	105.12,	107.16,	104.44,	71.84,	104.76,	102.16,	1,	1,	1
106.00,	108.19,	104.47,	107.45,	4422500.00,	75.75,	-24.25,	-0.00481615,	78342500.00,	106.04,	105.72,	106.05,	105.21,	79.20,	105.80,	102.86,	1,	1,	1
107.60,	108.36,	106.48,	107.50,	4286250.00,	75.70,	-24.30,	0.02498093,	82628750.00,	105.94,	106.35,	105.38,	106.16,	85.02,	106.60,	103.52,	1,	1,	-1
107.78,	108.00,	106.70,	106.98,	1622500.00,	70.64,	-29.36,	0.02707373,	81006250.00,	106.36,	106.69,	105.87,	106.73,	88.74,	106.93,	104.20,	-1,	1,	-1
107.20,	108.00,	106.70,	107.16,	3363750.00,	68.80,	-31.20,	0.01352502,	84370000.00,	106.96,	106.82,	106.80,	106.89,	89.65,	106.99,	104.81,	1,	-1,	-1
107.00,	107.00,	105.40,	106.34,	2793750.00,	58.26,	-41.74,	-0.01033039,	81576250.00,	107.09,	106.75,	107.26,	106.85,	86.96,	106.47,	105.42,	-1,	-1,	-1
107.80,	109.38,	106.42,	106.87,	4611250.00,	63.74,	-36.26,	-0.00586047,	86187500.00,	106.97,	106.50,	107.10,	106.33,	82.72,	106.01,	106.16,	1,	1,	-1
106.96,	108.68,	106.72,	108.42,	4452500.00,	78.56,	-21.44,	0.01346046,	90640000.00,	107.15,	106.55,	106.98,	106.07,	80.75,	106.24,	106.72,	1,	-1,	1
109.00,	111.80,	108.80,	109.53,	7047500.00,	72.91,	-27.09,	0.02211646,	97687500.00,	107.66,	107.01,	107.21,	106.46,	78.13,	106.88,	106.98,	1,	1,	1
109.80,	110.14,	106.46,	106.90,	4041250.00,	41.53,	-58.47,	0.00526613,	93646250.00,	107.61,	107.29,	107.36,	107.03,	69.11,	107.28,	107.01,	-1,	1,	-1
106.02,	107.12,	105.00,	105.84,	7388750.00,	28.88,	-71.12,	-0.00963788,	86257500.00,	107.51,	107.30,	107.75,	107.31,	68.89,	107.27,	106.63,	-1,	-1,	-1
105.21,	108.57,	104.44,	108.25,	12905000.00,	57.64,	-42.36,	-0.00156798,	99162500.00,	107.79,	107.38,	108.06,	107.30,	67.48,	107.25,	106.42,	1,	-1,	1
108.60,	108.80,	106.50,	107.71,	6067500.00,	51.19,	-48.81,	-0.01661645,	93095000.00,	107.65,	107.40,	107.80,	107.28,	65.11,	107.31,	106.64,	-1,	1,	-1
107.60,	109.75,	107.28,	109.56,	6141250.00,	73.27,	-26.73,	0.02488307,	99236250.00,	107.65,	107.66,	107.17,	107.41,	65.17,	107.46,	107.11,	1,	-1,	1
