c,gamma,dist+plus_actual,dist_minus_act,pred_plus_train,pred_minus_train,pred_plus_test,pred_minus_test,pred_tain_accuracy_tot,pred_train_acc_plus,pred_train_acc_minus,pre_test_acc_tot,pred_test_acc_plus,pred_test_acc_minus,ret_pt_tot_train,ret_pt_tot_plus,ret_pt_train_minus,ret_pt_cor_train,ret_pt_inc_train,rt_pt_tot_test,rt_pt_plus_test,rt_pt_minus_test,rt_pt_cor_test,ret_pt_inc_test
1000,0.0085470085,54.0833333333,45.9166666667,65.8658658659,34.1341341341,74.1293532338,25.8706467662,57.6576576577,58.5106382979,56.0117302053,53.7313432836,57.0469798658,44.2307692308,0.2031738852,0.1738090583,0.2595064103,1.1451649458,-1.0735010581,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0084745763,54.0833333333,45.9166666667,65.8658658659,34.1341341341,74.1293532338,25.8706467662,57.6576576577,58.5106382979,56.0117302053,53.7313432836,57.0469798658,44.2307692308,0.2031738852,0.1738090583,0.2595064103,1.1451649458,-1.0735010581,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0084033613,54.0833333333,45.9166666667,65.7657657658,34.2342342342,74.1293532338,25.8706467662,57.5575575576,58.4474885845,55.8479532164,53.7313432836,57.0469798658,44.2307692308,0.2006252889,0.1721320973,0.2550439718,1.1449381502,-1.073975404,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0083333333,54.0833333333,45.9166666667,65.7657657658,34.2342342342,74.1293532338,25.8706467662,57.5575575576,58.4474885845,55.8479532164,53.7313432836,57.0469798658,44.2307692308,0.2006252889,0.1721320973,0.2550439718,1.1449381502,-1.073975404,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0082644628,54.0833333333,45.9166666667,65.6656656657,34.3343343343,74.1293532338,25.8706467662,57.6576576577,58.5365853659,55.9766763848,53.7313432836,57.0469798658,44.2307692308,0.2045277193,0.1753718816,0.2599660658,1.1463413242,-1.0719067194,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0081967213,54.0833333333,45.9166666667,65.6656656657,34.3343343343,74.1293532338,25.8706467662,57.6576576577,58.5365853659,55.9766763848,53.7313432836,57.0469798658,44.2307692308,0.2045277193,0.1753718816,0.2599660658,1.1463413242,-1.0719067194,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0081300813,54.0833333333,45.9166666667,65.6656656657,34.3343343343,73.631840796,26.368159204,57.6576576577,58.5365853659,55.9766763848,53.2338308458,56.7567567568,43.3962264151,0.2045277193,0.1753718816,0.2599660658,1.1463413242,-1.0719067194,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.0080645161,54.0833333333,45.9166666667,65.6656656657,34.3343343343,73.631840796,26.368159204,57.6576576577,58.5365853659,55.9766763848,53.2338308458,56.7567567568,43.3962264151,0.2045277193,0.1753718816,0.2599660658,1.1463413242,-1.0719067194,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.008,54.0833333333,45.9166666667,65.6656656657,34.3343343343,73.631840796,26.368159204,57.6576576577,58.5365853659,55.9766763848,53.2338308458,56.7567567568,43.3962264151,0.2045277193,0.1753718816,0.2599660658,1.1463413242,-1.0719067194,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.0079365079,54.0833333333,45.9166666667,65.6656656657,34.3343343343,73.631840796,26.368159204,57.6576576577,58.5365853659,55.9766763848,53.2338308458,56.7567567568,43.3962264151,0.2045277193,0.1753718816,0.2599660658,1.1463413242,-1.0719067194,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.0078740157,54.0833333333,45.9166666667,65.7657657658,34.2342342342,73.631840796,26.368159204,57.5575575576,58.4474885845,55.8479532164,53.2338308458,56.7567567568,43.3962264151,0.2027720537,0.1737674942,0.2581673897,1.1468067689,-1.0714532074,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.0078125,54.0833333333,45.9166666667,65.6656656657,34.3343343343,73.631840796,26.368159204,57.4574574575,58.3841463415,55.6851311953,53.2338308458,56.7567567568,43.3962264151,0.2005858601,0.1723644113,0.2542475135,1.1468984359,-1.0715064549,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.007751938,54.0833333333,45.9166666667,65.5655655656,34.4344344344,73.631840796,26.368159204,57.5575575576,58.4732824427,55.8139534884,53.2338308458,56.7567567568,43.3962264151,0.2009472965,0.1729037446,0.2540355234,1.1452184367,-1.0735970829,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.0076923077,54.0833333333,45.9166666667,65.5655655656,34.4344344344,73.631840796,26.368159204,57.5575575576,58.4732824427,55.8139534884,53.2338308458,56.7567567568,43.3962264151,0.2009472965,0.1729037446,0.2540355234,1.1452184367,-1.0735970829,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.0076335878,54.0833333333,45.9166666667,65.5655655656,34.4344344344,73.631840796,26.368159204,57.5575575576,58.4732824427,55.8139534884,53.2338308458,56.7567567568,43.3962264151,0.2009472965,0.1729037446,0.2540355234,1.1452184367,-1.0735970829,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.0075757576,54.0833333333,45.9166666667,65.5655655656,34.4344344344,73.631840796,26.368159204,57.5575575576,58.4732824427,55.8139534884,53.2338308458,56.7567567568,43.3962264151,0.2009472965,0.1729037446,0.2540355234,1.1452184367,-1.0735970829,0.181809796,0.1632068529,0.2337576369,1.2101166754,-0.988709737
1000,0.007518797,54.0833333333,45.9166666667,65.5655655656,34.4344344344,73.1343283582,26.8656716418,57.5575575576,58.4732824427,55.8139534884,53.7313432836,57.1428571429,44.4444444444,0.2009472965,0.1729037446,0.2540355234,1.1452184367,-1.0735970829,0.1957954044,0.1738786931,0.2554575631,1.211926277,-0.9842275444
1000,0.0074626866,54.0833333333,45.9166666667,65.5655655656,34.4344344344,73.1343283582,26.8656716418,57.5575575576,58.4732824427,55.8139534884,53.7313432836,57.1428571429,44.4444444444,0.2009472965,0.1729037446,0.2540355234,1.1452184367,-1.0735970829,0.1957954044,0.1738786931,0.2554575631,1.211926277,-0.9842275444
