0,1,2,3,4,5,6,7,8,9
Date,I1,I2,I3,I4,I5,I6,I7,Output NSE Intraday Change,Intraday Change Value
119,-0.0222,-0.003,0.0024,0.0095,0,0,-0.0154,-1,0.005
120,-0.0486,0.006,-0.0086,-0.0145,0.0168,0.0022,0,0,0.005
121,0.0954,-0.0118,0.0257,-0.0051,0.0234,0.0535,-0.0144,1,0.005
122,0.0795,0.0162,0.0444,-0.0172,0.0607,-0.01,0.0294,1,0.005
123,-0.0139,0.003,0.0199,-0.0073,0.011,0.019,-0.0666,1,0.005
124,0.0191,0.0171,0.0184,-0.0142,-0.0067,0.0141,0.0079,1,0.005
125,-0.0409,0.0056,0.0106,0.0042,-0.0321,-0.0232,0.0209,-1,0.005
126,-0.0153,-0.0062,0.0113,-0.0053,0.0037,-0.0021,0.0092,-1,0.005
127,0.0281,-0.0123,-0.0011,0.0104,0.0151,-0.0071,-0.0057,1,0.005
128,0.0306,0.0077,0.0044,0.0095,0.0725,0.0849,-0.0218,1,0.005
129,0.0099,0.0084,0.0035,-0.002,0,0,0.0116,1,0.005
130,0.0128,-0.0017,0.0129,0.0031,0.0097,0.0148,0,0,0.005
131,0.0193,-0.0109,0.0126,0.0027,-0.0067,-0.0087,0.005,1,0.005
132,-0.0176,-0.0017,0.0078,-0.0049,-0.0035,-0.0125,-0.002,-1,0.005
133,0.0284,0.0058,0.0168,0.0034,0.0082,0.0079,-0.0091,-1,0.005
134,-0.0066,0.0017,-0.0021,-0.0047,-0.0057,-0.0037,-0.0002,1,0.005
135,0.0165,-0.0066,-0.0035,0.0032,-0.0207,-0.0217,0.002,-1,0.005
136,-0.0068,-0.0033,-0.0042,-0.0027,0.0375,0.0458,-0.001,-1,0.005
137,0.0107,0.0059,-0.0002,0.0041,0.0051,0.0107,0.0081,1,0.005
138,0.007,0.0009,-0.0045,0.0012,0.0072,0.0176,0.0056,1,0.005
139,0.0031,-0.0009,0.0008,0.0011,-0.0052,-0.0138,0.0104,1,0.005
140,0.0103,-0.0172,-0.0109,-0.0006,0,-0.0015,-0.0087,-1,0.005
141,-0.0383,-0.0087,-0.0226,-0.0031,-0.0096,-0.0178,-0.0015,0,0.005
142,0.0148,-0.0085,-0.0049,-0.0014,0,0,-0.0083,-1,0.005
143,-0.0302,0.0171,0.0011,0.0052,0,0,0,0,0.005
144,0.0486,-0.0025,0.0093,0.0003,0.0078,0.0241,0,0,0.005
145,0.0276,-0.0169,0.0063,-0.0007,-0.0112,-0.0134,0.0162,1,0.005
146,-0.0113,0.0112,-0.0061,-0.0087,0.0286,0.0303,-0.0023,-1,0.005
147,0.0292,0.0026,-0.0029,0.0176,0.0181,0.0251,0.0016,1,0.005
148,0.0008,-0.0117,-0.0059,-0.0213,0.0395,0.0462,0.007,1,0.005
149,0.029,0.0038,-0.011,-0.005,0.0282,0.0389,0.0064,1,0.005
150,0.0026,0.0029,0.0103,-0.0115,0.0459,0.0205,0.0105,1,0.005
151,0.0287,-0.0158,0.0031,0.0056,-0.0448,-0.0355,-0.0243,1,0.005
152,0.0018,0.0077,0.0065,-0.0008,0.0533,0.0492,0.0097,-1,0.005
153,-0.008,0.002,-0.0101,-0.0094,-0.0148,-0.0119,-0.0039,1,0.005
154,0.009,-0.003,-0.0009,0.0029,-0.003,-0.0106,0.003,-1,0.005
155,-0.0229,-0.004,0.0048,0.0012,0.0083,0.0104,-0.0076,-1,0.005
156,0.0552,0,0.0104,0.0026,0.0072,0.0206,0.0021,1,0.005
157,0.0078,0.0194,-0.004,0.0074,0.0076,0.0067,0.0133,1,0.005
