'c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
50,0.007518797,55.5370524563,44.4629475437,86.013986014,13.986013986,87,13,59.1408591409,58.3042973287,64.2857142857,61.5,60.9195402299,65.3846153846,0.6401154278,0.5694870956,1.074479671,2.576582193,-2.1627900121,0.4714368648,0.4612451858,0.539642717,1.8351981579,-1.7070389669
10,0.0161290323,55.5370524563,44.4629475437,87.3126873127,12.6873126873,85.5,14.5,58.6413586414,57.8947368421,63.7795275591,61,60.8187134503,62.0689655172,0.5500998635,0.5094686492,0.8297194014,2.5217783105,-2.245492524,0.4225521971,0.4407496816,0.3152497884,1.8101713659,-1.7478265029
15,0.0143353608,55.5370524563,44.4629475437,86.1138861139,13.8861138861,84.5,15.5,59.040959041,58.2366589327,64.0287769784,61,60.9467455621,61.2903225806,0.588105781,0.5386282611,0.894937595,2.5368964975,-2.2210047395,0.4084541105,0.4376235911,0.2494333939,1.7986155573,-1.7659009728
15,0.0147058824,55.5370524563,44.4629475437,86.2137862138,13.7862137862,84.5,15.5,58.9410589411,58.1691772885,63.768115942,61,60.9467455621,61.2903225806,0.5817596551,0.5343236675,0.8784064471,2.5358128712,-2.2233289032,0.4084541105,0.4376235911,0.2494333939,1.7986155573,-1.7659009728
15,0.0144927536,55.5370524563,44.4629475437,86.2137862138,13.7862137862,84.5,15.5,58.9410589411,58.1691772885,63.768115942,61,60.9467455621,61.2903225806,0.5863666418,0.5369955063,0.8951151199,2.5397210014,-2.2177186919,0.4084541105,0.4376235911,0.2494333939,1.7986155573,-1.7659009728
15,0.0142857143,55.5370524563,44.4629475437,86.1138861139,13.8861138861,84.5,15.5,59.040959041,58.2366589327,64.0287769784,61,60.9467455621,61.2903225806,0.588105781,0.5386282611,0.894937595,2.5368964975,-2.2210047395,0.4084541105,0.4376235911,0.2494333939,1.7986155573,-1.7659009728
15,0.014084507,55.5370524563,44.4629475437,86.1138861139,13.8861138861,84.5,15.5,59.040959041,58.2366589327,64.0287769784,61,60.9467455621,61.2903225806,0.588105781,0.5386282611,0.894937595,2.5368964975,-2.2210047395,0.4084541105,0.4376235911,0.2494333939,1.7986155573,-1.7659009728
15,0.0133333333,55.5370524563,44.4629475437,86.4135864136,13.5864135864,84.5,15.5,58.7412587413,58.0346820809,63.2352941176,61,60.9467455621,61.2903225806,0.5724230421,0.527685954,0.8569640798,2.5364908489,-2.2238768863,0.4084541105,0.4376235911,0.2494333939,1.7986155573,-1.7659009728
50,0.0084325652,55.5370524563,44.4629475437,84.8151848152,15.1848151848,82.5,17.5,59.9400599401,58.8928150766,65.7894736842,61,61.2121212121,60,0.7058208656,0.6162708609,1.2060047734,2.5970370498,-2.1239290358,0.3904132504,0.4372987932,0.1693814057,1.783827967,-1.7890302807
50,0.0085470085,55.5370524563,44.4629475437,84.8151848152,15.1848151848,82.5,17.5,59.9400599401,58.8928150766,65.7894736842,61,61.2121212121,60,0.7058208656,0.6162708609,1.2060047734,2.5970370498,-2.1239290358,0.3904132504,0.4372987932,0.1693814057,1.783827967,-1.7890302807
50,0.0084745763,55.5370524563,44.4629475437,84.8151848152,15.1848151848,82.5,17.5,59.9400599401,58.8928150766,65.7894736842,61,61.2121212121,60,0.7058208656,0.6162708609,1.2060047734,2.5970370498,-2.1239290358,0.3904132504,0.4372987932,0.1693814057,1.783827967,-1.7890302807
50,0.0084033613,55.5370524563,44.4629475437,84.7152847153,15.2847152847,82.5,17.5,59.8401598402,58.8443396226,65.3594771242,61,61.2121212121,60,0.7025589136,0.6150723514,1.1874517554,2.5986471167,-2.1227068416,0.3904132504,0.4372987932,0.1693814057,1.783827967,-1.7890302807
50,0.0083333333,55.5370524563,44.4629475437,84.7152847153,15.2847152847,82.5,17.5,59.8401598402,58.8443396226,65.3594771242,61,61.2121212121,60,0.7025589136,0.6150723514,1.1874517554,2.5986471167,-2.1227068416,0.3904132504,0.4372987932,0.1693814057,1.783827967,-1.7890302807
50,0.0081967213,55.5370524563,44.4629475437,84.6153846154,15.3846153846,83.5,16.5,59.7402597403,58.7957497048,64.9350649351,61,61.0778443114,60.6060606061,0.7006454292,0.6146678335,1.1735222053,2.6013911771,-2.1198160032,0.3996143629,0.4375713301,0.2075291045,1.7913698625,-1.7772339826
50,0.0074626866,55.5370524563,44.4629475437,86.013986014,13.986013986,87.5,12.5,59.1408591409,58.3042973287,64.2857142857,61,60.5714285714,64,0.6401154278,0.5694870956,1.074479671,2.576582193,-2.1627900121,0.4658172355,0.4553982823,0.5387499085,1.8456345122,-1.6923585049
50,0.0074074074,55.5370524563,44.4629475437,86.013986014,13.986013986,87.5,12.5,59.1408591409,58.3042973287,64.2857142857,61,60.5714285714,64,0.6401154278,0.5694870956,1.074479671,2.576582193,-2.1627900121,0.4658172355,0.4553982823,0.5387499085,1.8456345122,-1.6923585049
50,0.0073529412,55.5370524563,44.4629475437,86.013986014,13.986013986,87.5,12.5,58.9410589411,58.1881533101,63.5714285714,61,60.5714285714,64,0.6313267683,0.5643782407,1.0430602131,2.5778609053,-2.1629679783,0.4658172355,0.4553982823,0.5387499085,1.8456345122,-1.6923585049
50,0.0072992701,55.5370524563,44.4629475437,86.013986014,13.986013986,87.5,12.5,58.9410589411,58.1881533101,63.5714285714,61,60.5714285714,64,0.6313267683,0.5643782407,1.0430602131,2.5778609053,-2.1629679783,0.4658172355,0.4553982823,0.5387499085,1.8456345122,-1.6923585049
50,0.0072463768,55.5370524563,44.4629475437,85.8141858142,14.1858141858,87.5,12.5,58.9410589411,58.207217695,63.3802816901,61,60.5714285714,64,0.620144776,0.5591770408,0.9889566387,2.5683751644,-2.1765849786,0.4658172355,0.4553982823,0.5387499085,1.8456345122,-1.6923585049
50,0.0071942446,55.5370524563,44.4629475437,85.7142857143,14.2857142857,87.5,12.5,58.8411588412,58.1585081585,62.9370629371,61,60.5714285714,64,0.6182312916,0.5587125631,0.9753436625,2.571109759,-2.1736265174,0.4658172355,0.4553982823,0.5387499085,1.8456345122,-1.6923585049
100,0.0049603325,55.5370524563,44.4629475437,85.2147852148,14.7852147852,87.5,12.5,59.5404595405,58.6166471278,64.8648648649,61,60.5714285714,64,0.6819059674,0.5993488328,1.1577251282,2.5943839317,-2.1325060492,0.4658172355,0.4553982823,0.5387499085,1.8456345122,-1.6923585049
150,0.0029178426,55.5370524563,44.4629475437,85.6143856144,14.3856143856,91.5,8.5,59.3406593407,58.4597432905,64.5833333333,61,60.1092896175,70.5882352941,0.6596678732,0.5835640469,1.1125913392,2.5843815777,-2.1493737496,0.4464505231,0.4249072577,0.6783574393,1.8297601578,-1.7171876234
